url,category
https://www.mdc.edu/learning-resources/contact/,other
https://www.mdc.edu/learning-resources/hours-and-locations/,other
https://libraryguides.mdc.edu/MDCLibraryCatalogAdvanced,other
https://libraryguides.mdc.edu/MDCLibraryCatalogCourseReserves,other
https://libraryguides.mdc.edu/az.php,other
https://libraryguides.mdc.edu/MDCLibraryCatalogJournals,other
https://libraryguides.mdc.edu/,other
https://www.mdc.edu/learning-resources/about/my-library-account/,about
https://libraryguides.mdc.edu/MDCTutoring,other
https://libraryguides.mdc.edu/BbLLibrary,other
https://libraryguides.mdc.edu/MDCLibrary,other
https://libraryguides.mdc.edu/Skillshops,other
https://libraryguides.mdc.edu/AcademicSearchComplete,other
https://libraryguides.mdc.edu/eBookDatabases,other
https://libraryguides.mdc.edu/VideoResources,other
https://www.mdc.edu/learning-resources/research-tools-services/inter-campus-interlibrary-loan/,other
http://libraryguides.mdc.edu/APAStyle,other
http://libraryguides.mdc.edu/MLAStyle,other
https://www.mdc.edu/learning-resources/tutoring-labs-technology/make-an-appointment/,student_services
https://www.mdc.edu/learning-resources/tutoring-labs-technology/reserve-a-study-room/,student_services
https://www.mdc.edu/learning-resources/tutoring-labs-technology/borrow-a-mobile-device/,student_services
https://www.mdc.edu/learning-resources/tutoring-labs-technology/computer-courtyards-labs/,student_services
http://www.mdc.edu/academics/calendar/holidays.aspx,events
https://www.mdc.edu/learning-resources/about/borrowing-privileges/,about
https://libraryguides.mdc.edu/embedded-tutoring,other
https://www.mdc.edu/learning-resources/faculty-resources/collection-development/,faculty_staff
http://www.mdc.edu/registration/,student_services
https://www.mdc.edu/admissions-info/default.aspx,admissions
https://www.mdc.edu/admissions-info/tuition/default.aspx,admissions
https://www.mdc.edu/admissions-info/resources.aspx,admissions
https://www.mdc.edu/admissions-info/forms.aspx,admissions
https://www.mdc.edu/admissions-info/florida-residency-workshops.aspx,admissions
https://www.mdc.edu/costs,other
https://www.mdc.edu/admissions-info/tuition/florida-residency.aspx,admissions
https://www.mdc.edu/transcripts/sendtestscores.aspx,other
https://www.mdc.edu/testing/testing-criteria/,student_services
https://www.mdc.edu/financialaid/scholarships/american-dream.aspx,financial_aid
https://www.mdc.edu/transcripts/send-transcripts.aspx,other
https://www.mdc.edu/financialaid/apply/,admissions
https://www.mdc.edu/orientation/,other
https://www.mdc.edu/password/,other
https://www.mdc.edu/registration/enrollment-verification.aspx,student_services
https://www.mdc.edu/registrar/,other
https://www.mdc.edu/transcripts/default.aspx,other
https://www.mdc.edu/advisement/academic-advisement/,student_services
https://www.mdc.edu/advisement/career-planning/,student_services
https://www.mdc.edu/advisement/how-to-videos-/,student_services
https://www.mdc.edu/advisement/academic-advisement/starting-college-at-mdc/,student_services
https://www.mdc.edu/advisement/academic-advisement/academic-progress/,student_services
https://www.mdc.edu/advisement/academic-advisement/graduation-transfer-prep/,student_services
https://www.mdc.edu/navigate/,other
https://www.mdc.edu/registration/default.aspx,student_services
https://www.mdc.edu/registration/in-person.aspx,student_services
https://www.mdc.edu/registration/password.aspx,student_services
https://www.mdc.edu/wiretransfer/,other
https://cs.mdc.edu/psp/PMYM1J/CUSTOMER/SA/c/SA_LEARNER_SERVICES.MD_SS_EPAY_CP.GBL?Page=MD_SS_EPAY_PG&Action=U&cmd=login,other
https://www.mdc.edu/financialaid/scholarships/,financial_aid
https://faq.mdc.edu/kb/registering-for-classes/,other
https://www.mdc.edu/transcripts/official.aspx,other
https://www.mdc.edu/transcripts/unofficial.aspx,other
https://www.mdc.edu/transcripts/transcript-evaluation.aspx,other
https://www.mdc.edu/transcripts/transfer-evaluation-guide.aspx,other
https://www.mdc.edu/admissions/contact.aspx,admissions
https://www.mdc.edu/registration,student_services
https://www.mdc.edu/password,other
https://www.mdc.edu/registrar,other
https://www.mdc.edu/ferpa,other
https://www.mdc.edu/veterans/education-information/,other
https://www.mdc.edu/veterans/financial-assistance/,other
https://www.mdc.edu/veterans/benefits/,other
https://www.mdc.edu/veterans/forms/,other
https://www.mdc.edu/veterans/contact-us/,other
https://www.mdc.edu/veteransupwardbound/,other
https://www.mdc.edu/veterans/education-information/mentor-program/,other
https://www.mdc.edu/internationalstudents/esp/,other
https://www.mdc.edu/internationalstudents/default.aspx,other
https://www.mdc.edu/internationalstudents/admission/default.aspx,other
https://www.mdc.edu/internationalstudents/resources/default.aspx,other
https://www.mdc.edu/internationalstudents/contact-us.aspx,other
https://www.mdc.edu/academics/transfer/default.aspx,other
https://www.mdc.edu/bachelors/,other
https://www.mdc.edu/internationalstudents/admission/required-documents.aspx,other
https://www.mdc.edu/internationalstudents/admission/english-language-requirement.aspx,other
https://www.mdc.edu/internationalstudents/admission/visas.aspx,other
https://www.mdc.edu/internationalstudents/resources/housing.aspx,other
https://www.mdc.edu/internationalstudents/resources/security-regulations.aspx,other
https://www.mdc.edu/wiretransfer,other
https://www.mdc.edu/testing/about/,student_services
https://www.mdc.edu/testing/tests/,student_services
https://www.mdc.edu/testing/testing-requirements/,student_services
https://www.mdc.edu/testing/remotetesting/,student_services
https://www.mdc.edu/testing/sending-test-scores/,student_services
https://www.mdc.edu/testing/contact/,student_services
https://www.mdc.edu/testing/tests/cct/,student_services
https://www.mdc.edu/testing/tests/clep/,student_services
https://news.mdc.edu/pressrelease/miami-dade-college-sets-state-record-in-industry-certifications/,other
https://www.mdc.edu/testing/tests/fcle/,student_services
https://ce.mdc.edu/search/publicCourseSearchDetails.do?method=load&courseId=3353673&selectedProgramAreaId=3353648&selectedProgramStreamId=3353663,other
https://www.mdc.edu/aet/placement-criteria/alternative-placement-criteria/,other
https://www.mdc.edu/testing/tests/frtw,student_services
https://www.mdc.edu/mdcworks/career-resources/credentialing.aspx,other
https://www.mdc.edu/testing/testing-criteria/credit-by-exam-/,student_services
https://www.mdc.edu/testing/testing-criteria/modern-states/,student_services
https://www.mdc.edu/testing/contact/online-appointments/,student_services
https://www.mdc.edu/testing/tests/cart,student_services
https://www.mdc.edu/testing/video-resources/,student_services
https://www.mdc.edu/highschool/dual-enrollment/,other
https://www.mdc.edu/fcle/,other
https://www.mdc.edu/feedback/,other
https://www.mdc.edu/aet/surveys/,other
https://www.mdc.edu/iMAP/,other
https://www.mdc.edu/industrycertifications/,other
https://www.mdc.edu/aet/placement-criteria/,other
https://www.mdc.edu/pla/,other
https://www.mdc.edu/testing/testing-requirements/testing-forms/,student_services
https://calendar.mdc.edu/department/testing,student_services
https://www.mdc.edu/student-financial-services/default.aspx,other
https://www.mdc.edu/student-financial-services/tuition-fees/default.aspx,financial_aid
https://www.mdc.edu/student-financial-services/due-dates/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/default.aspx,other
https://www.mdc.edu/student-financial-services/disbursements-refunds/default.aspx,other
https://www.mdc.edu/student-financial-services/tax-information/default.aspx,other
https://www.mdc.edu/student-financial-services/financial-holds/default.aspx,other
https://www.mdc.edu/student-financial-services/tuition-fees/other-fees/default.aspx,financial_aid
https://www.mdc.edu/student-financial-services/tuition-fees/foa/default.aspx,financial_aid
https://www.mdc.edu/tuition/foa/,financial_aid
https://www.mdc.edu/financialaid/default.aspx,other
https://www.mdc.edu/financialaid/how-aid-works/default.aspx,other
https://www.mdc.edu/financialaid/apply/default.aspx,admissions
https://www.mdc.edu/financialaid/receive-aid/default.aspx,other
https://www.mdc.edu/financialaid/scholarships/default.aspx,financial_aid
https://www.mdc.edu/financialaid/important-forms/forms.aspx,other
https://www.mdc.edu/financialaid/apply/workshop-series.aspx,admissions
https://www.mdc.edu/financialliteracy,other
https://faq.mdc.edu/kb/financial-aid-and-scholarships/,financial_aid
https://www.mdc.edu/financialaid/awards/,other
https://www.mdc.edu/financialaid/how-aid-works/transfer-students.aspx,other
https://www.mdc.edu/main/americandream/,other
https://www.mdc.edu/future-ready/,other
https://www.mdc.edu/honorscollege,other
https://www.mdc.edu/scholarships/board-trustees.aspx,financial_aid
https://www.mdc.edu/scholarships/bright-futures.aspx,financial_aid
https://www.mdc.edu/last-mile-scholarship/,other
https://www.mdc.edu/scholarships/upskill-miami-scholarship.aspx,financial_aid
https://www.mdc.edu/opendoor/,other
https://www.mdc.edu/student-financial-services/payment-options/online-payments/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/wire-transfers/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/in-person-or-mail/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/florida-pre-paid/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/nelnet-payment-plan/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/third-party-billing/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/third-party-billing-responsibilities/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/financial-aid-loans/default.aspx,financial_aid
https://www.mdc.edu/student-financial-services/payment-options/fee-waivers-fee-exemptions/default.aspx,other
https://www.mdc.edu/student-financial-services/payment-options/letter-of-credit/default.aspx,other
https://www.mdc.edu/mdconnect-update/,other
https://www.mdc.edu/financialaid/receive-aid/terms-conditions.aspx,other
http://www.mdc.edu/financialaid/how-aid-works/sap-policy.aspx,other
https://www.mdc.edu/admissions/tuition/florida-residency.aspx,admissions
https://www.mdc.edu/culinary/,other
https://www.mdc.edu/fashion/,other
https://calendar.mdc.edu/arts_and_culture,other
https://www.mdc.edu/mdcworks/default.aspx,other
https://www.mdc.edu/mdcworks/explore-careers/default.aspx,other
